Depmap ID,"RNAi (Achilles, DEMETER2)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-001201,-0.9999631709883896,SUMB002,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.555202633878297,Other
ACH-000982,-0.8543549088732688,GP2D,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.313245851787562,Other
ACH-000981,-1.1716566347468025,DND41,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,5.592457037268081,Other
ACH-000980,-0.9842499477926735,NCIH1155,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.87455108689664,Other
ACH-000979,-1.047784568478242,DU145,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,,Other
ACH-000978,-1.1261596062332242,EN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.851998837112446,Other
ACH-000977,-1.1345813804287104,LNCAPCLONEFGC,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,5.267535798068735,Other
ACH-000975,-1.3754243147004486,HCC2450,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.5453506448223,Other
ACH-000971,-0.5920785383180714,HCT116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.599317793698226,Other
ACH-000969,-0.8798342606188664,KM12,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.919816770052789,Other
ACH-000967,-1.05640831852995,SNUC2A,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.658782734012828,Other
ACH-000966,-0.9929570736922582,IGROV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.130107178658833,Other
ACH-000965,-1.1684313209175874,RL952,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.062208077560245,Other
ACH-000962,-0.8134452919985957,OC314,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.986865972329115,Other
ACH-000960,-0.9279329262917164,REH,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.74416109557041,Other
ACH-000028,-0.49054904776446523,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.279099802133753,Other
ACH-000057,-1.0635787697747119,OPM1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.136273429850582,Other
ACH-000055,-1.0732823519862795,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.1001366712854495,Other
ACH-000054,-0.7578013148535332,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma,5.604960869503778,Other
ACH-000052,-0.9636776870265112,A673,Ewing Sarcoma,Bone,Ewing Sarcoma,5.294620748891627,Other
ACH-000049,-0.8097089831348199,HEKTE,Non-Cancerous,Kidney,Non-Cancerous,5.308156975114762,Other
ACH-000048,-0.9914556765395908,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.595742339474399,Other
ACH-001318,-0.7069119920857554,PLCPRF5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,5.589463892956097,Other
ACH-000045,-1.0005470770655713,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.860466258517167,Other
ACH-000041,-0.9147514765284007,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma,5.957450336347116,Other
ACH-000040,-0.992582806209843,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.656782364218995,Other
ACH-000036,-0.863984945158728,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma,4.413458688007979,Other
ACH-000035,-1.0724596923124168,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.320484678017694,Other
ACH-000034,-0.816140117150989,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.160274831408593,Other
ACH-000030,-0.9730687072918457,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.661065479806948,Other
ACH-000029,-0.9348732720595865,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.01435529297707,Other
ACH-000305,-1.3623531781168126,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.136273429850582,Other
ACH-000025,-0.7952302861284701,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,5.195347598322219,Other
ACH-000024,-0.9859867003783427,OPM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.350143602017798,Other
ACH-000021,-0.9261342110959445,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.494415610397496,Other
ACH-000019,-0.958807814935722,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.938756261492295,Other
ACH-000016,-1.0241786600276683,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.645009884391095,Other
ACH-000015,-0.9222987927708283,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.663344619366085,Other
ACH-000014,-0.8220040867402686,HS294T,Melanoma,Skin,Melanoma,5.44857062600553,Other
ACH-000012,-0.8671946282412144,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.991861930556323,Other
ACH-000009,-0.7993694247679001,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.957450336347116,Other
ACH-000007,-0.9592973443066257,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.93451650158608,Other
ACH-000006,-0.9213631352951546,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,5.661350569233997,Other
