gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
GLT8D1	736.3469	0.1978	0.2339	0.3798	0.5256
GLT8D2	6.3156	-0.2742	0.8299	0.4921	0.6338
GLTP	2519.8351	0.3322	0.1994	0.0868	0.166
GLTPD1	832.8279	-0.5099	0.2414	0.0278	0.064
GLTPD2	9.3204	0.4419	0.8055	0.2996	0.4417
GLTSCR1	320.0853	-1.1023	0.3074	1e-04	6e-04
GLTSCR1L	294.4328	-2.0045	0.3198	0	0
GLTSCR2	2785.0588	0.408	0.2038	0.0393	0.0863
GLUD1	6208.9211	0.6045	0.185	8e-04	0.003
GLUD1P3	105.2438	0.9585	0.4351	0.0114	0.0298
GLUD1P7	4.484	0.363	0.8879	0.2914	0.4319
GLUD2	8.8728	0.1173	0.785	0.7829	0.8597
GLUL	1727.75	-1.0115	0.2095	0	0
GLYCTK	229.9922	0.0496	0.3758	0.8838	0.9274
GLYR1	2031.9154	0.4856	0.2069	0.0156	0.0391
GM2A	1924.0461	0.9187	0.2028	0	0
GMCL1	324.3835	0.0952	0.2885	0.7267	0.8206
GMDS	588.4605	0.9918	0.2595	1e-04	3e-04
GMDS-AS1	9.6597	0.1972	0.7792	0.647	0.7617
GMEB1	204.7552	-1.9896	0.3549	0	0
GMEB2	663.802	-1.5676	0.27	0	0
GMFB	4220.9253	-0.0871	0.2168	0.678	0.7831
GMFG	6.2453	-0.0056	0.854	0.9878	0.9923
GMIP	600.3325	0.1059	0.2537	0.6627	0.7721
GMNN	493.0521	-2.3821	0.2901	0	0
GMPPA	822.6787	0.8461	0.2541	5e-04	0.0019
GMPPB	738.3668	0.2983	0.2747	0.2523	0.3871
GMPR	255.7297	0.582	0.3198	0.0502	0.1055
GMPR2	1324.7499	0.653	0.2163	0.0018	0.006
GMPS	2142.2037	0.0483	0.201	0.8047	0.8746
GNA11	6479.1512	0.5021	0.1953	0.0083	0.0226
GNA12	3827.4271	0.1484	0.1961	0.4371	0.5823
GNA13	1699.2796	-1.3267	0.2481	0	0
GNA15	1309.1497	0.1454	0.2427	0.5325	0.6696
GNAI1	483.8352	-0.7712	0.2664	0.0023	0.0074
GNAI2	8929.8424	0.7836	0.1994	1e-04	3e-04
GNAI3	3353.0322	0.0182	0.2174	0.9311	0.9582
GNAL	8.122	0.4075	0.8177	0.3275	0.4716
GNAO1	521.4686	-0.2548	0.2617	0.3072	0.4498
GNAQ	749.0048	-0.9064	0.2604	3e-04	0.0011
GNAS	19369.4179	1.0243	0.1949	0	0
GNAS-AS1	1.2066	0.151	0.9499	0.424	NA
GNAT2	2.6053	0.0835	0.9071	0.772	NA
GNAZ	2.5891	-0.2127	0.912	0.4613	NA
GNB1	12852.9685	0.6821	0.1865	2e-04	8e-04
GNB1L	110.5904	0.1676	0.412	0.6454	0.7604
GNB2	9039.017	0.8717	0.2096	0	1e-04
GNB2L1	32634.1841	1.0139	0.2129	0	0
GNB3	7.3869	-0.8257	0.9359	0.0261	0.0607
GNB4	2293.1392	-0.3831	0.2766	0.1438	0.2502
GNB5	1110.6959	0.6649	0.2175	0.0016	0.0053
GNE	551.1554	-1.744	0.259	0	0
GNG10	1681.6704	0.4901	0.262	0.0496	0.1042
GNG11	1568.7623	0.4871	0.2783	0.0645	0.1296
GNG12	6435.9594	0.2029	0.2658	0.4227	0.5683
GNG13	4.283	0.4769	0.8945	0.1739	0.291
GNG2	82.5487	0.3596	0.4693	0.3668	0.5128
GNG3	0.2321	-0.0462	0.9484	0.7973	NA
GNG4	1.4368	-0.2167	0.9428	0.3274	NA
GNG5	2481.5205	0.5232	0.1975	0.0065	0.0183
GNG7	118.7214	1.1799	0.4257	0.0016	0.0052
GNGT2	1.7016	0.0154	0.9307	0.9472	NA
GNL1	1273.3816	0.5163	0.2244	0.0171	0.0424
GNL2	2042.9014	-0.2659	0.202	0.1757	0.2934
GNL3	2741.7905	-0.6719	0.2118	0.0011	0.0037
GNL3L	2161.4717	0.2776	0.1973	0.1484	0.2566
GNLY	0.2883	0.0612	0.9486	0.7344	NA
GNMT	5.6541	-0.3586	0.8488	0.3549	0.4996
GNN	5.0872	0.2452	0.8625	0.5017	0.6415
GNPAT	1535.3356	0.5355	0.2083	0.008	0.0221
GNPDA1	1700.1981	0.5009	0.2078	0.013	0.0333
