Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,EPHA5,EPHA5,24,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA6,EPHA6,20,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA7,EPHA7,11,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA8,EPHA8,21,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHB1,EPHB1,4,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHB2,EPHB2,23,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHB3,EPHB3,31,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHB4,EPHB4,19,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHB6,EPHB6,51,1000
MEL-0495(R)Pharmaron-2nd Batch,ERBB2,ERBB2,46,1000
MEL-0495(R)Pharmaron-2nd Batch,ERBB3,ERBB3,9,1000
MEL-0495(R)Pharmaron-2nd Batch,ERBB4,ERBB4,33,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK1,MAPK3,15,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK2,MAPK1,15,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK3,MAPK6,9,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK4,MAPK4,9,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK5,MAPK7,29,1000
MEL-0495(R)Pharmaron-2nd Batch,ERK8,MAPK15,96.4,1000
MEL-0495(R)Pharmaron-2nd Batch,ERN 1.00,ERN 1.00,7,1000
MEL-0495(R)Pharmaron-2nd Batch,FAK,PTK2,16,1000
MEL-0495(R)Pharmaron-2nd Batch,FER,FER,15,1000
MEL-0495(R)Pharmaron-2nd Batch,FES,FES,6,1000
MEL-0495(R)Pharmaron-2nd Batch,FGFR1,FGFR1,11,1000
MEL-0495(R)Pharmaron-2nd Batch,FGFR2,FGFR2,19,1000
MEL-0495(R)Pharmaron-2nd Batch,FGFR3,FGFR3,32,1000
MEL-0495(R)Pharmaron-2nd Batch,FGFR3(G697C),FGFR3,38,1000
MEL-0495(R)Pharmaron-2nd Batch,FGFR4,FGFR4,27,1000
MEL-0495(R)Pharmaron-2nd Batch,FGR,FGR,47,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT1,FLT1,8,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3,FLT3,18,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(D835H),FLT3,33,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(D835V),FLT3,75,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(D835Y),FLT3,59,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(ITD),FLT3,61,1000
MEL-0495(R)Pharmaron-2nd Batch,"FLT3(ITD,D835V)",FLT3,90,1000
MEL-0495(R)Pharmaron-2nd Batch,"FLT3(ITD,F691L)",FLT3,94.7,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(K663Q),FLT3,21,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(N841I),FLT3,29,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3(R834Q),FLT3,39,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT3-autoinhibited,FLT3,6,1000
MEL-0495(R)Pharmaron-2nd Batch,FLT4,FLT4,14,1000
MEL-0495(R)Pharmaron-2nd Batch,FRK,FRK,18,1000
MEL-0495(R)Pharmaron-2nd Batch,FYN,FYN,38,1000
MEL-0495(R)Pharmaron-2nd Batch,GAK,GAK,54,1000
MEL-0495(R)Pharmaron-2nd Batch,"GCN2(Kin.Dom.2,S808G)",EIF2AK4,7,1000
MEL-0495(R)Pharmaron-2nd Batch,GRK1,GRK1,15,1000
MEL-0495(R)Pharmaron-2nd Batch,GRK2,ADRBK1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,GRK3,ADRBK2,22,1000
MEL-0495(R)Pharmaron-2nd Batch,GRK4,GRK4,14,1000
MEL-0495(R)Pharmaron-2nd Batch,GRK7,GRK7,15,1000
MEL-0495(R)Pharmaron-2nd Batch,GSK3A,GSK3A,97,1000
MEL-0495(R)Pharmaron-2nd Batch,GSK3B,GSK3B,92.7,1000
MEL-0495(R)Pharmaron-2nd Batch,HASPIN,GSG2,90.2,1000
MEL-0495(R)Pharmaron-2nd Batch,HCK,HCK,30,1000
MEL-0495(R)Pharmaron-2nd Batch,HIPK1,HIPK1,75,1000
MEL-0495(R)Pharmaron-2nd Batch,HIPK2,HIPK2,50,1000
MEL-0495(R)Pharmaron-2nd Batch,HIPK3,HIPK3,46,1000
MEL-0495(R)Pharmaron-2nd Batch,HIPK4,HIPK4,42,1000
MEL-0495(R)Pharmaron-2nd Batch,HPK1,MAP4K1,9,1000
MEL-0495(R)Pharmaron-2nd Batch,HUNK,HUNK,7,1000
MEL-0495(R)Pharmaron-2nd Batch,ICK,ICK,80,1000
MEL-0495(R)Pharmaron-2nd Batch,IGF1R,IGF1R,12,1000
MEL-0495(R)Pharmaron-2nd Batch,IKK-alpha,CHUK,64,1000
MEL-0495(R)Pharmaron-2nd Batch,IKK-beta,IKBKB,54,1000
MEL-0495(R)Pharmaron-2nd Batch,IKK-epsilon,IKBKE,34,1000
MEL-0495(R)Pharmaron-2nd Batch,INSR,INSR,42,1000
MEL-0495(R)Pharmaron-2nd Batch,INSRR,INSRR,20,1000
MEL-0495(R)Pharmaron-2nd Batch,IRAK1,IRAK1,76,1000
MEL-0495(R)Pharmaron-2nd Batch,IRAK3,IRAK3,62,1000
MEL-0495(R)Pharmaron-2nd Batch,IRAK4,IRAK4,42,1000
MEL-0495(R)Pharmaron-2nd Batch,ITK,ITK,15,1000
MEL-0495(R)Pharmaron-2nd Batch,JAK1(JH1domain-catalytic),JAK1,58,1000
MEL-0495(R)Pharmaron-2nd Batch,JAK1(JH2domain-pseudokinase),JAK1,34,1000
MEL-0495(R)Pharmaron-2nd Batch,JAK2(JH1domain-catalytic),JAK2,80,1000
MEL-0495(R)Pharmaron-2nd Batch,JAK3(JH1domain-catalytic),JAK3,75,1000
MEL-0495(R)Pharmaron-2nd Batch,JNK1,MAPK8,92.2,1000
MEL-0495(R)Pharmaron-2nd Batch,JNK2,MAPK9,45,1000
MEL-0495(R)Pharmaron-2nd Batch,JNK3,MAPK10,87,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT,KIT,39,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT(A829P),KIT,39,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT(D816H),KIT,42,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT(D816V),KIT,48,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT(L576P),KIT,72,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT(V559D),KIT,41,1000
MEL-0495(R)Pharmaron-2nd Batch,"KIT(V559D,T670I)",KIT,37,1000
MEL-0495(R)Pharmaron-2nd Batch,"KIT(V559D,V654A)",KIT,8,1000
MEL-0495(R)Pharmaron-2nd Batch,KIT-autoinhibited,KIT,56,1000
MEL-0495(R)Pharmaron-2nd Batch,LATS1,LATS1,35,1000
MEL-0495(R)Pharmaron-2nd Batch,LATS2,LATS2,31,1000
MEL-0495(R)Pharmaron-2nd Batch,LCK,LCK,57,1000
MEL-0495(R)Pharmaron-2nd Batch,LIMK1,LIMK1,1,1000
MEL-0495(R)Pharmaron-2nd Batch,LIMK2,LIMK2,14,1000
