xName,size
NUAK2,43.193193193193196
SNRK,39.18918918918919
SRC,18.768768768768766
SRMS,39.98998998998999
SRPK1,36.38638638638639
SRPK2,43.593593593593596
SRPK3,42.39239239239239
STK16,37.18718718718719
STK33,49.5995995995996
STK35,44.7947947947948
STK36,37.98798798798799
STK39,25.975975975975974
SYK,31.18118118118118
MAP3K7,10.0
TAOK1,10.52052052052052
TAOK2,15.165165165165165
TAOK3,14.364364364364365
TBK1,38.78878878878879
TEC,46.7967967967968
TESK1,33.18318318318318
TGFBR1,32.38238238238238
TGFBR2,25.975975975975974
TIE1,41.991991991991995
TEK,44.394394394394396
TLK1,18.768768768768766
TLK2,12.762762762762762
TNIK,34.38438438438438
TNK1,36.38638638638639
TNK2,47.5975975975976
TNNI3K,36.38638638638639
NTRK1,42.792792792792795
NTRK2,50.0
NTRK3,47.1971971971972
TRPM6,43.593593593593596
TSSK1B,47.1971971971972
TSSK3,41.991991991991995
TTK,27.57757757757758
TXK,34.38438438438438
TYK2,10.6006006006006
TYK2,23.173173173173172
TYRO3,41.991991991991995
ULK1,43.193193193193196
ULK2,33.58358358358358
ULK3,50.0
KDR,45.5955955955956
PIK3C3,47.1971971971972
VRK2,19.169169169169166
WEE1,42.39239239239239
WEE2,45.5955955955956
WNK1,50.0
WNK2,50.0
WNK3,46.7967967967968
WNK4,41.191191191191194
STK32A,40.790790790790794
STK32B,49.5995995995996
STK32C,34.38438438438438
YES1,39.58958958958959
STK25,13.443443443443442
MAP3K19,47.5975975975976
ZAK,37.58758758758759
ZAP70,45.1951951951952
