cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
P12ICHIKAWA,High Expression,P12ICHIKAWA,-0.026395837,-0.370957465,0.189278457,-2.880852116,-3.291673003,-3.490051772,-3.596550495,-3.735500183
BFTC905,Medium Expression,BFTC905,0.073783812,-0.182156043,-0.536781611,-2.620188039,-3.839715291,-3.386571082,-4.781962387,-3.095025115
KU1919,High Expression,KU1919,-0.087370444,0.134555962,-0.008164119,-2.985352811,-3.964575987,-4.131554876,-4.238342285,-4.447301738
VMCUB1,High Expression,VMCUB1,-0.12376334,-0.116697947,0.099302404,-2.986597318,-3.674402073,-4.675283123,-4.215026796,-3.985047216
SNU407,High Expression,SNU407,0.054253834,0.671618284,0.331312678,-1.504396356,-3.932341233,-3.892661753,-3.921692055,-3.82442869
BICR22,Low Expression,BICR22,-0.107096632,0.04896067,-0.255039457,-2.292275242,-3.705410246,-4.003910254,-4.0468461,-4.484879689
BICR31,High Expression,BICR31,0.096118334,-0.227940618,0.034819586,-3.242470242,-3.941749906,-3.77751003,-5.314032291,-4.106709776
BICR78,Medium Expression,BICR78,0.02388452,-0.000173039,0.003357462,-2.733468754,-4.090583453,-3.962681964,-3.853918179,-4.514942078
SNU410,High Expression,SNU410,-0.563659941,-0.169398822,-0.243414275,0.001863162,-1.739912647,-2.153684084,-1.799808727,-3.661134641
647V,Low Expression,647V,-0.075278377,-0.379020349,0.008840037,-1.410459339,-3.208720119,-4.073500633,-4.052154088,-4.026315792
RT112,High Expression,RT112,0.233519623,0.061243729,-0.313441794,-3.718637524,-4.404915527,-4.669201697,-4.385926465,-4.189855771
SW1710,High Expression,SW1710,0.074365604,-0.171504461,-0.324388509,-3.187680506,-3.556379574,-3.994439338,-4.480421809,-4.058836681
CAL33,High Expression,CAL33,-0.07969872,0.201905605,-0.044001447,-3.589928748,-4.326826408,-4.187373005,-4.158329333,-4.416155194
CAL62,High Expression,CAL62,0.139142869,-0.23323637,-0.081863574,-3.150979996,-3.668634714,-3.699283729,-3.685503613,-3.494838835
BC3C,Medium Expression,BC3C,0.050125063,0.352230741,-1.280525831,-3.17129643,-3.745838331,-3.67255378,-3.810911107,-2.772319482
KE37,High Expression,KE37,0.180097271,-0.212978812,-0.410390923,-3.547188559,-2.944515691,-3.771145358,-3.821376496,-3.661033407
SNU46,High Expression,SNU46,0.030783804,-0.263325434,-0.851077132,-4.449281881,-3.679996877,-3.717592296,-3.929466841,-3.417427145
SNU466,Medium Expression,SNU466,-0.126993808,-0.262660139,-0.637756739,-3.963766703,-3.366379857,-4.829570526,-3.720153673,-5.417975258
SNU489,High Expression,SNU489,-0.36982133,-0.185231252,0.197373681,-0.241320661,-3.622763103,-4.12055882,-4.207662656,-3.402811072
JMSU1,High Expression,JMSU1,-0.151787499,-0.465711316,0.002023681,-3.318143107,-3.8866846,-3.255146519,-3.187259941,-4.018148659
BICR6,Low Expression,BICR6,-0.059156317,0.360914823,-0.133234338,-4.275217716,-3.893981174,-3.746260355,-3.75080367,-3.69196148
CAL29,High Expression,CAL29,0.277664701,0.144514741,0.158451092,-1.627017981,-4.188541844,-3.696112611,-4.805780452,-3.937591242
TALL1,High Expression,TALL1,0.027459969,-0.035988889,0.269216883,-1.096678302,-2.643864914,-2.941084901,-2.592720713,-2.548630096
DND41,High Expression,DND41,-0.321818397,-0.17040373,-0.366298669,-1.71571536,-2.648595283,-3.025416229,-4.09641141,-3.747614608
SNU601,High Expression,SNU601,-0.132728605,0.046208697,-0.159995928,-2.475282397,-3.417689521,-4.1548274,-4.217308488,-3.582568584
