gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
PDCD7	985.5378	-0.242	0.1153	0.0349	0.0559
PDCL	283.4358	-0.6076	0.2098	0.0032	0.006
PDCL2	0.3891	-0.1078	1.2488	0.7352	NA
PDCL3	576.4965	0.4615	0.1494	0.0018	0.0035
PDCL3P4	2.5153	-0.137	1.0987	0.8034	0.8503
PDDC1	436.8775	-0.122	0.1718	0.4731	0.5581
PDE10A	112.8717	-0.38	0.3136	0.209	0.2798
PDE11A	0.3608	-0.1002	1.2488	0.7529	NA
PDE12	1079.4758	-0.3635	0.112	0.0011	0.0022
PDE1A	0.9013	-0.2952	1.2202	0.4583	NA
PDE1B	0.5315	0.0593	1.2448	0.8566	NA
PDE2A	0.667	0.2401	1.2461	0.4744	NA
PDE3A	976.8095	-1.0649	0.1258	0	0
PDE3B	43.4743	0.4078	0.4784	0.3527	0.4385
PDE4A	207.5621	-0.4271	0.2312	0.0597	0.0915
PDE4B	20.3898	1.845	0.6853	0.0012	0.0024
PDE4C	0.8669	0.1904	1.2222	0.6227	NA
PDE4D	205.5433	0.5337	0.2347	0.0204	0.0338
PDE4DIP	1070.0882	0.038	0.1116	0.7319	0.7928
PDE5A	63.3846	-1.8677	0.4588	0	0
PDE6A	22.6175	0.4324	0.6093	0.4117	0.4978
PDE6B	3.7268	0.8254	1.0617	0.1682	0.2316
PDE6D	212.1148	0.45	0.2272	0.0436	0.0687
PDE7A	208.8224	-2.4048	0.2606	0	0
PDE7B	76.1515	-4.3253	0.6864	0	0
PDE8A	342.1367	-0.2971	0.1837	0.1016	0.1479
PDE8B	8.2755	0.2446	0.8476	0.6922	0.758
PDE9A	197.4644	-1.3328	0.2451	0	0
PDF	604.5491	0.3185	0.1492	0.0314	0.0507
PDGFA	104.9955	-0.3876	0.3262	0.2166	0.2887
PDGFB	1178.9192	0.7639	0.1128	0	0
PDGFC	2275.4528	0.408	0.0811	0	0
PDGFD	622.0452	1.0494	0.1397	0	0
PDGFRA	25.1701	-0.0029	0.6069	0.9956	0.9973
PDGFRB	346.459	-0.0666	0.1809	0.7095	0.7732
PDGFRL	12.7908	0.4059	0.7409	0.4919	0.5764
PDHA1	2419.7984	1.1601	0.08	0	0
PDHB	2891.437	0.5121	0.0825	0	0
PDHX	590.4454	-1.5859	0.1504	0	0
PDIA2	2.4424	0.0812	1.0822	0.8852	0.9146
PDIA3	15761.7653	1.3523	0.0482	0	0
PDIA3P1	56.3785	0.6556	0.4302	0.1023	0.1487
PDIA4	13318.3166	1.4502	0.0494	0	0
PDIA5	580.5636	1.2807	0.1443	0	0
PDIA6	15427.7782	1.5187	0.0489	0	0
PDIK1L	192.6134	-0.6772	0.2422	0.0043	0.0078
PDK1	202.3521	0.2835	0.2386	0.2253	0.2987
PDK2	157.7666	0.3899	0.266	0.1326	0.1876
PDK3	362.1376	0.8036	0.1919	0	0
PDK4	62.8731	-0.3832	0.4785	0.3826	0.4673
PDLIM1	2515.3203	0.6102	0.0793	0	0
PDLIM2	700.9812	0.8632	0.1362	0	0
PDLIM3	2.9001	-0.0939	1.062	0.8706	0.904
PDLIM4	31.7101	-0.4508	0.532	0.3449	0.4304
PDLIM5	2333.6087	-0.0481	0.0855	0.5725	0.6519
PDLIM7	3859.2261	0.4113	0.0667	0	0
PDP1	128.7436	-1.7866	0.3241	0	0
PDP2	433.9512	-0.4402	0.1668	0.0077	0.0135
PDPK1	691.4485	-1.8067	0.1401	0	0
PDPN	16830.7093	1.3047	0.0503	0	0
PDPR	874.1064	-0.4701	0.1205	1e-04	2e-04
PDRG1	431.9024	-1.0422	0.1757	0	0
PDS5A	3728.2541	-0.7075	0.0761	0	0
PDS5B	100.5924	-1.2117	0.3434	2e-04	5e-04
PDSS1	172.1137	-0.9083	0.2668	5e-04	0.001
PDSS2	205.7742	-0.1136	0.2362	0.6235	0.6971
PDX1	0.7501	-0.2469	1.2281	0.5138	NA
PDXDC1	1616.7982	-0.2157	0.0914	0.0179	0.0299
PDXDC2P	32.4096	-1.7426	0.6049	9e-04	0.0018
PDXK	9570.4464	0.0438	0.0596	0.4623	0.5475
PDXP	1247.755	0.7052	0.1013	0	0
PDYN	0.1804	-0.0353	1.2501	0.9101	NA
PDZD11	447.3471	1.1337	0.1611	0	0
PDZD2	396.397	-1.9257	0.1965	0	0
PDZD4	392.2801	0.785	0.1736	0	0
PDZD7	3.5499	-0.0235	1.0146	0.9688	0.977
PDZD8	1316.4502	0.6051	0.1057	0	0
PDZD9	32.9914	0.4877	0.6106	0.3553	0.4411
PDZK1	9.5528	0.2793	0.8173	0.6485	0.7198
PDZK1IP1	237.2936	1.794	0.2444	0	0
PEA15	1153.3826	-1.0071	0.1209	0	0
PEAK1	244.2051	-1.2149	0.221	0	0
PEAR1	2.0698	0.1806	1.1001	0.7426	0.802
PEBP1	8344.8375	1.3883	0.0539	0	0
PECAM1	23.9329	0.9958	0.614	0.06	0.092
PECR	180.4857	0.947	0.2465	1e-04	2e-04
PEF1	794.3754	-0.6408	0.1274	0	0
PEG10	33160.2932	0.9949	0.0565	0	0
PELI1	674.3415	0.4632	0.1378	7e-04	0.0014
PELI2	526.9852	0.5241	0.1744	0.0024	0.0045
PELI3	135.0793	-1.3523	0.3063	0	0
PELO	913.5413	1.8844	0.1238	0	0
PELP1	1780.8929	-0.2778	0.091	0.0022	0.0041
PEMT	621.9352	0.8736	0.1479	0	0
PEPD	1763.3459	1.4313	0.0901	0	0
PER1	249.2667	-1.8735	0.2311	0	0
PER2	150.4986	-1.8307	0.2895	0	0
PER3	142.3966	-0.2221	0.2972	0.4403	0.5258
PERM1	6.5267	0.6143	0.9323	0.3256	0.4098
PERP	2242.4347	1.3615	0.0827	0	0
PES1	3530.66	0.6424	0.0737	0	0
PET100	347.2737	1.39	0.1848	0	0
PET112	571.8569	0.9816	0.1449	0	0
PET117	120.9962	-1.0612	0.3315	8e-04	0.0017
PEX1	362.2323	-0.2879	0.1792	0.1041	0.1511
PEX10	945.9609	0.7592	0.1155	0	0
PEX11A	13.1641	-2.0908	0.998	0.0017	0.0032
PEX11B	175.5718	-3.7025	0.3384	0	0
PEX11G	17.8671	0.6616	0.6693	0.237	0.312
PEX12	264.3588	2.0646	0.2139	0	0
PEX13	373.0827	-0.4339	0.1774	0.0134	0.0228
PEX14	240.3055	-3.4879	0.2867	0	0
PEX16	100.6071	-0.5568	0.3272	0.0766	0.1148
PEX19	574.6015	-0.3462	0.1464	0.0172	0.0288
PEX2	330.0118	-0.6783	0.1916	3e-04	7e-04
PEX26	1012.1458	0.1458	0.1126	0.1932	0.2616
PEX3	169.1627	-0.6808	0.2572	0.0067	0.0119
PEX5	567.3775	-1.1037	0.1644	0	0
PEX5L	2.0502	-0.7604	1.1811	0.1311	0.1858
PEX6	548.4297	0.7661	0.1468	0	0
PEX7	91.7624	0.8783	0.344	0.0076	0.0134
PFAS	3671.2343	0.26	0.068	1e-04	3e-04
PFDN1	575.5077	0.145	0.1459	0.3167	0.4006
PFDN2	997.9027	1.1768	0.1127	0	0
PFDN4	263.7192	0.3763	0.2233	0.0862	0.1276
PFDN5	1928.9526	1.3469	0.0856	0	0
PFDN6	732.2004	0.9597	0.1379	0	0
PFKFB1	0.3713	-0.1031	1.2488	0.7462	NA
PFKFB2	117.4692	-2.6168	0.3644	0	0
PFKFB3	775.9922	-0.879	0.1462	0	0
PFKFB4	8.9971	-1.2569	0.9194	0.0489	0.0762
PFKL	3718.0765	1.3778	0.0699	0	0
PFKM	2041.0752	0.5947	0.0913	0	0
PFKP	3801.4154	0.871	0.0805	0	0
PFN1	47232.7562	1.5275	0.0497	0	0
PFN1P2	2.8799	-0.2628	1.0639	0.649	0.7203
PFN2	4187.6234	0.966	0.0672	0	0
PFN4	3.2476	0.0647	1.0426	0.9123	0.9366
PGA4	1.5179	0.4123	1.195	0.3609	0.4471
PGAM1	15969.0728	1.2698	0.0504	0	0
PGAM1P5	8.7112	1.1186	0.8794	0.0764	0.1146
PGAM2	8.7642	0.5917	0.8647	0.3418	0.4275
PGAM4	3.2327	0.989	1.1511	0.0747	0.1123
PGAM5	2203.434	-0.2856	0.0871	0.001	0.002
PGAP1	213.9409	-0.2742	0.2274	0.2192	0.2915
PGAP2	329.0037	-0.0734	0.1867	0.6905	0.7566
PGAP3	134.501	0.1226	0.284	0.6568	0.7272
PGBD1	45.4241	-2.119	0.5347	0	0
PGBD2	87.7572	-0.6113	0.3478	0.066	0.1003
PGBD4	15.2097	0.2948	0.6998	0.6073	0.6827
PGBD5	94.4469	-1.5789	0.3637	0	0
PGD	6723.8105	0.9588	0.0578	0	0
PGF	12.0358	-1.7991	0.95	0.0059	0.0106
