gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZNF747	362.6286	-0.0041	0.0984	0.9193	0.9932
ZNF749	106.0639	0.0242	0.1076	0.3699	0.9111
ZNF750	4.8753	0.0098	0.1147	0.2078	0.8771
ZNF75A	77.126	-0.0104	0.1065	0.6979	0.9722
ZNF75D	205.4011	0.0273	0.1025	0.4454	0.9232
ZNF76	447.7181	0.0032	0.0977	0.9386	0.9946
ZNF761	328.9454	0.017	0.1007	0.6501	0.9682
ZNF763	56.896	0.0065	0.1075	0.7872	0.9832
ZNF764	230.4221	0.0078	0.1009	0.8325	0.9854
ZNF765	178.3585	0.0298	0.1039	0.3825	0.9139
ZNF766	247.3285	0.036	0.102	0.3371	0.9028
ZNF767	100.1413	0.0152	0.1054	0.6062	0.9581
ZNF768	1053.3044	0.012	0.094	0.7904	0.9836
ZNF77	56.3921	-0.0211	0.1085	0.3853	0.9152
ZNF770	1747.7694	0.0055	0.0943	0.9033	0.9911
ZNF771	430.3385	-0.0413	0.1019	0.2816	0.8964
ZNF772	3.2442	0.0056	0.1146	0.3586	NA
ZNF773	58.9394	0.0122	0.1077	0.6129	0.9588
ZNF774	9.8488	0.0019	0.1115	0.8652	0.9887
ZNF775	138.7343	-0.0126	0.1041	0.6903	0.9712
ZNF776	359.1543	-0.0088	0.1002	0.8161	0.985
ZNF777	808.2564	0.0528	0.0968	0.237	0.886
ZNF778	178.8853	0.0487	0.1115	0.0938	0.8149
ZNF780A	414.0356	0.0079	0.101	0.8296	0.9854
ZNF780B	312.5704	0.0679	0.107	0.0804	0.8068
ZNF781	14.1652	-0.0139	0.1119	0.2949	0.8992
ZNF782	68.0235	-0.0013	0.1069	0.9582	0.9956
ZNF783	369.7123	0.0638	0.104	0.1126	0.8296
ZNF784	115.298	0.0055	0.1044	0.8571	0.988
ZNF785	2.3707	-0.0014	0.1132	0.8082	NA
ZNF786	198.2768	0.0025	0.1015	0.945	0.9956
ZNF787	1278.7706	-0.0017	0.0958	0.9693	0.9956
ZNF788	179.3462	-0.0064	0.1024	0.8513	0.9872
ZNF789	30.3296	-0.0094	0.1096	0.6168	0.9592
