Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of T Cell Mediated Immunity (GO:0002711)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	HSPD1
Retrograde Vesicle-Mediated Transport, Golgi to Endoplasmic Reticulum (GO:0006890)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	TMEM115
Positive Regulation of Chromosome Organization (GO:2001252)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	AURKB
Positive Regulation of miRNA Transcription (GO:1902895)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	FOSL1
Positive Regulation of Pattern Recognition Receptor Signaling Pathway (GO:0062208)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	DDX3X
Mitotic Nuclear Division (GO:0140014)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	PPP1CC
Mitotic Spindle Assembly (GO:0090307)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	AURKB
Monoatomic Anion Transport (GO:0006820)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	BEST1
Regulation of T Cell Differentiation (GO:0045580)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	SMARCE1
Calcium Ion Transport (GO:0006816)	2/126	0.42653832816473986	0.515102291831693	0	0	1.389018531228552	1.1835174751339905	LETM1;KCNN4
Positive Regulation of Angiogenesis (GO:0045766)	2/126	0.42653832816473986	0.515102291831693	0	0	1.389018531228552	1.1835174751339905	PKM;PDPK1
Regulation of Exocytosis (GO:0017157)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	ANXA2
Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	DDX5
Erythrocyte Differentiation (GO:0030218)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	HSPA9
Positive Regulation of Leukocyte Cell-Cell Adhesion (GO:1903039)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	HSPD1
Fatty Acid Beta-Oxidation (GO:0006635)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	ACAA1
Positive Regulation of Osteoblast Differentiation (GO:0045669)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	WWTR1
Hexose Metabolic Process (GO:0019318)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	PDPK1
Mitotic G2/M Transition Checkpoint (GO:0044818)	1/48	0.4265581052412519	0.515102291831693	0	0	1.8315001803101334	1.5604503952852895	NOP53
Monocarboxylic Acid Metabolic Process (GO:0032787)	2/127	0.4304785761158515	0.5194087181776447	0	0	1.3778382978723405	1.1613216483024347	LDHA;ACAA1
Regulation of Insulin Receptor Signaling Pathway (GO:0046626)	1/49	0.43317118782198266	0.5205155420877267	0	0	1.793255649717514	1.5002776234275175	SNX5
Activation of Protein Kinase Activity (GO:0032147)	1/49	0.43317118782198266	0.5205155420877267	0	0	1.793255649717514	1.5002776234275175	PDPK1
Regulation of Stem Cell Differentiation (GO:2000736)	1/49	0.43317118782198266	0.5205155420877267	0	0	1.793255649717514	1.5002776234275175	HNRNPU
Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718)	1/49	0.43317118782198266	0.5205155420877267	0	0	1.793255649717514	1.5002776234275175	WWTR1
Positive Regulation of Transport (GO:0051050)	1/49	0.43317118782198266	0.5205155420877267	0	0	1.793255649717514	1.5002776234275175	ANXA2
Golgi Organization (GO:0007030)	2/128	0.43440450644930917	0.5215700298564188	0	0	1.366835528537656	1.1396389466583943	COG8;CSNK1A1
Regulation of Angiogenesis (GO:0045765)	3/211	0.4386979267421889	0.5240751249947543	0	0	1.2422337278106508	1.0235312710163693	SHC1;CEMIP2;PDPK1
Regulation of Interleukin-2 Production (GO:0032663)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	STOML2
Negative Regulation of Protein Binding (GO:0032091)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	RACK1
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	SMARCE1
Nucleocytoplasmic Transport (GO:0006913)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	HNRNPA1
Regulation of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	GPS2
Positive Regulation of Blood Vessel Endothelial Cell Migration (GO:0043536)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	PDPK1
Positive Regulation of Lymphocyte Activation (GO:0051251)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	HSPD1
Myelination (GO:0042552)	1/50	0.439708324518109	0.5240751249947543	0	0	1.7565721203735731	1.443276364845115	SOX10
Fatty Acid Metabolic Process (GO:0006631)	2/130	0.4422126496096825	0.526265030367106	0	0	1.345345744680851	1.097754239923663	ACAA1;ADIPOR1
Negative Regulation of Cell Population Proliferation (GO:0008285)	5/379	0.44226365444220644	0.526265030367106	0	0	1.1518071178314586	0.9397007676055638	TIAL1;TMEM115;CTBP1;CSNK2B;MEN1
Regulation of Interferon-Beta Production (GO:0032648)	1/51	0.4461703837744614	0.5291956170011006	0	0	1.7213559322033898	1.3892278334614947	DDX3X
Carboxylic Acid Transmembrane Transport (GO:1905039)	1/51	0.4461703837744614	0.5291956170011006	0	0	1.7213559322033898	1.3892278334614947	SLC16A1
Epithelial to Mesenchymal Transition (GO:0001837)	1/51	0.4461703837744614	0.5291956170011006	0	0	1.7213559322033898	1.3892278334614947	DDX5
Inorganic Anion Transport (GO:0015698)	1/51	0.4461703837744614	0.5291956170011006	0	0	1.7213559322033898	1.3892278334614947	BEST1
Epithelial Cell Differentiation (GO:0030855)	2/132	0.4499612905520339	0.5328297673257525	0	0	1.3245171849427169	1.0577511071369738	SCRIB;OVOL2
Protein Localization to Plasma Membrane (GO:0072659)	2/132	0.4499612905520339	0.5328297673257525	0	0	1.3245171849427169	1.0577511071369738	EHD1;RAB34
Negative Regulation of Protein Ubiquitination (GO:0031397)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	SIRT7
Regulation of Synaptic Transmission, Glutamatergic (GO:0051966)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	SLC38A2
Regulation of Telomere Maintenance (GO:0032204)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	AURKB
Positive Regulation of Reactive Oxygen Species Metabolic Process (GO:2000379)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	GRB2
Positive Regulation of Small GTPase Mediated Signal Transduction (GO:0051057)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	CSNK1A1
Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	PHLDA3
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	1/52	0.45255822434266013	0.5328918529207548	0	0	1.6875207710202724	1.337932030044424	NDUFA5
Regulation of GTPase Activity (GO:0043087)	2/133	0.4538128658199874	0.5339403381156513	0	0	1.3143414000324833	1.038422177485084	RACK1;AGRN
DNA Metabolic Process (GO:0006259)	4/301	0.4566945034261291	0.5368998733141181	0	0	1.1598098293377264	0.9089900448949175	CNBP;LONP1;NOP53;MEN1
Potassium Ion Transmembrane Transport (GO:0071805)	2/134	0.45764905910142134	0.5373062067658511	0	0	1.3043197936814959	1.0195250037289694	LETM1;KCNN4
Negative Regulation of Protein Catabolic Process (GO:0042177)	1/53	0.4588726950005767	0.5373062067658511	0	0	1.6549869621903521	1.2892058156226884	ANXA2
Antibacterial Humoral Response (GO:0019731)	1/53	0.4588726950005767	0.5373062067658511	0	0	1.6549869621903521	1.2892058156226884	FAU
Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051279)	1/53	0.4588726950005767	0.5373062067658511	0	0	1.6549869621903521	1.2892058156226884	PDPK1
Positive Regulation of miRNA Metabolic Process (GO:2000630)	1/53	0.4588726950005767	0.5373062067658511	0	0	1.6549869621903521	1.2892058156226884	FOSL1
Cellular Response to BMP Stimulus (GO:0071773)	1/54	0.46511463490494726	0.5422040368242738	0	0	1.6236808442596737	1.24288121182664	DDX5
Positive Regulation of Chemokine Production (GO:0032722)	1/54	0.46511463490494726	0.5422040368242738	0	0	1.6236808442596737	1.24288121182664	DDX3X
Gonad Development (GO:0008406)	1/54	0.46511463490494726	0.5422040368242738	0	0	1.6236808442596737	1.24288121182664	CSDE1
mRNA Destabilization (GO:0061157)	1/54	0.46511463490494726	0.5422040368242738	0	0	1.6236808442596737	1.24288121182664	KHSRP
Protein Localization to Cell Periphery (GO:1990778)	2/136	0.465274678257119	0.5422040368242738	0	0	1.2847253096221023	0.9829784611760044	EHD1;RAB34
Protein Targeting (GO:0006605)	2/136	0.465274678257119	0.5422040368242738	0	0	1.2847253096221023	0.9829784611760044	NACA;CDC37
Defense Response to Bacterium (GO:0042742)	3/221	0.4686211917648689	0.5456701089176312	0	0	1.1846624323688544	0.8979273655371288	RPL30;SHC1;FAU
Golgi to Plasma Membrane Transport (GO:0006893)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	RAB34
Rho Protein Signal Transduction (GO:0007266)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	ARHGDIA
Regulation of Peptide Hormone Secretion (GO:0090276)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	ENSA
Cellular Response to Fibroblast Growth Factor Stimulus (GO:0044344)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	FIBP
Endoplasmic Reticulum Organization (GO:0007029)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	SMPD4
Positive Regulation of Telomere Maintenance (GO:0032206)	1/55	0.4712848737677821	0.5461688734731768	0	0	1.59353421217828	1.198803900483129	AURKB
Intracellular Calcium Ion Homeostasis (GO:0006874)	2/139	0.47659400329248025	0.5497606313300158	0	0	1.2564062742661903	0.9311104985235474	LETM1;STOML2
Regulation of Proteasomal Protein Catabolic Process (GO:0061136)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	PSMC5
Regulation of Protein Localization to Nucleus (GO:1900180)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	WWTR1
Regulation of Stem Cell Population Maintenance (GO:2000036)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	SMARCE1
Positive Regulation of DNA Recombination (GO:0045911)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	RNF126
Epidermal Cell Differentiation (GO:0009913)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	OVOL2
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	C1QBP
Receptor Internalization (GO:0031623)	1/56	0.47738423170744215	0.5497606313300158	0	0	1.5644838212634822	1.1568318964987985	GRB2
Protein Autophosphorylation (GO:0046777)	2/140	0.4803348053881291	0.5527243521970152	0	0	1.247240209682393	0.9145662070444142	PDPK1;LONP1
Negative Regulation of Response to Stimulus (GO:0048585)	1/57	0.4834135195860796	0.5549602347010123	0	0	1.5364709443099274	1.1168343688077071	NR1H2
Positive Regulation of Protein Localization to Cell Periphery (GO:1904377)	1/57	0.4834135195860796	0.5549602347010123	0	0	1.5364709443099274	1.1168343688077071	PDPK1
Myeloid Cell Differentiation (GO:0030099)	1/57	0.4834135195860796	0.5549602347010123	0	0	1.5364709443099274	1.1168343688077071	HSPA9
Regulation of Cell Adhesion (GO:0030155)	2/142	0.48776719427191706	0.5591750647657449	0	0	1.2293009118541034	0.8825360815907486	C1QBP;P4HB
Regulation of Myoblast Differentiation (GO:0045661)	1/58	0.4893735389457372	0.5591750647657449	0	0	1.5094409753196552	1.0786905933086006	SMARCE1
Cellular Response to Unfolded Protein (GO:0034620)	1/58	0.4893735389457372	0.5591750647657449	0	0	1.5094409753196552	1.0786905933086006	HSPD1
Protein K63-linked Ubiquitination (GO:0070534)	1/58	0.4893735389457372	0.5591750647657449	0	0	1.5094409753196552	1.0786905933086006	RNF126
Mesenchymal Cell Differentiation (GO:0048762)	1/58	0.4893735389457372	0.5591750647657449	0	0	1.5094409753196552	1.0786905933086006	DDX5
Purine Ribonucleotide Metabolic Process (GO:0009150)	1/58	0.4893735389457372	0.5591750647657449	0	0	1.5094409753196552	1.0786905933086006	HSPA8
Regulation of Autophagy (GO:0010506)	3/229	0.49204233215421556	0.5617866502633022	0	0	1.1422736555479918	0.8100896537313741	BECN1;SNX5;EIF4G2
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	1/59	0.4952650823581283	0.5641481046907662	0	0	1.483343074225599	1.0422890186487237	NDUFA5
