gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MPPE1	103.4237	-0.0478	0.3709	0.8909	0.9318
MPPED2	0.8518	-0.1969	1.1509	0.5201	NA
MPRIP	8273.5081	0.4814	0.207	0.0178	0.0398
MPST	387.7963	0.0494	0.2594	0.8445	0.9002
MPV17	1178.5915	1.2123	0.2027	0	0
MPV17L	139.7027	-0.1951	0.4265	0.6192	0.7288
MPV17L2	609.8295	0.0901	0.2493	0.7104	0.8024
MPZ	167.1032	-0.3274	0.383	0.3611	0.4919
MPZL1	1074.2142	-0.1618	0.2368	0.4838	0.611
MPZL2	7.3175	0.035	0.8656	0.9494	0.9677
MPZL3	2.8982	-0.5396	1.0796	0.2386	0.3552
MR1	36.9144	0.3817	0.564	0.43	0.5602
MRAP2	5.5562	-0.1294	0.8921	0.8127	0.8785
MRAS	105.8408	-0.1831	0.3991	0.6219	0.731
MRC1	1.7308	-0.2576	1.0993	0.5175	NA
MRC2	1846.6562	0.8868	0.2076	0	1e-04
MRE11A	614.9641	0.5918	0.291	0.0347	0.071
MREG	81.4329	-0.7541	0.4117	0.0478	0.0933
MRFAP1	11817.1635	1.3341	0.1876	0	0
MRFAP1L1	1373.3416	0.9822	0.259	1e-04	4e-04
MRGBP	844.8631	-0.7155	0.2156	7e-04	0.0023
MRGPRX3	4.8071	-0.4098	0.9462	0.4419	0.572
MRGPRX4	159.5344	2.0337	0.4739	0	0
MRI1	1822.9648	0.0194	0.1924	0.9182	0.9479
MRM1	191.5799	-2.3821	0.4123	0	0
MRO	8.4283	0.5142	0.9402	0.3409	0.4706
MROH1	200.8634	0.9231	0.298	0.0013	0.0038
MROH6	267.4533	-0.4023	0.3034	0.1673	0.2669
MROH7-TTC4	0.3312	-0.0783	1.1589	0.7746	NA
MROH8	5.8764	0.3532	0.91	0.5166	0.6402
MROH9	0.731	0.1938	1.1652	0.4814	NA
MRP63	1414.2845	1.2855	0.2151	0	0
MRPL1	541.113	0.437	0.2274	0.0493	0.0958
MRPL10	1082.9499	-0.1728	0.3739	0.6226	0.7315
MRPL11	1395.2924	0.988	0.2335	0	1e-04
MRPL12	2726.7498	0.4071	0.1935	0.0325	0.0673
MRPL13	1227.0387	0.9287	0.2199	0	1e-04
MRPL14	689.3851	0.025	0.22	0.9077	0.9415
MRPL15	903.1623	-0.2717	0.2159	0.199	0.3077
MRPL16	1427.7392	0.4315	0.2201	0.0453	0.089
MRPL17	969.6144	-0.3055	0.2547	0.2172	0.3298
MRPL18	1007.4821	-0.2312	0.2236	0.2906	0.4158
MRPL19	1668.5103	0.8995	0.1971	0	0
MRPL2	353.4146	-0.67	0.2572	0.0073	0.0182
MRPL20	2053.1737	0.7503	0.204	2e-04	7e-04
MRPL21	1098.4158	0.3821	0.2142	0.0688	0.1273
MRPL22	638.7917	0.5107	0.2281	0.022	0.0478
MRPL23	896.8262	0.963	0.2265	0	1e-04
MRPL23-AS1	0.8622	-0.1994	1.1506	0.5162	NA
MRPL24	2267.4977	1.0289	0.2016	0	0
MRPL27	965.2734	-0.0419	0.2237	0.8482	0.9027
MRPL28	2015.4503	0.6124	0.1928	0.0012	0.0037
MRPL3	3561.4795	0.5026	0.1934	0.0083	0.0202
MRPL30	1307.3302	0.3513	0.2647	0.1713	0.272
MRPL32	698.6907	0.135	0.2792	0.6167	0.7269
MRPL33	984.5909	1.1669	0.2632	0	0
MRPL34	921.8499	0.0044	0.2077	0.983	0.9886
MRPL35	921.8706	0.4172	0.2081	0.0411	0.082
MRPL36	1157.3648	1.6686	0.2819	0	0
MRPL37	2624.972	0.5793	0.191	0.0021	0.0059
MRPL38	1209.6914	-0.2422	0.2126	0.2452	0.3629
MRPL39	622.1891	0.2021	0.2327	0.3739	0.5048
MRPL4	2451.7463	0.5193	0.2039	0.0095	0.0228
MRPL40	675.1375	0.8552	0.2325	2e-04	6e-04
MRPL41	1454.2695	0.8604	0.2089	0	1e-04
MRPL42	1639.4161	0.8383	0.2433	4e-04	0.0014
MRPL42P5	0.6884	-0.009	1.1337	0.9778	NA
MRPL43	1179.3451	0.3499	0.2428	0.1392	0.2288
MRPL44	528.5101	0.5244	0.2839	0.0556	0.1062
MRPL45	1110.7888	0.0643	0.2274	0.7723	0.8496
MRPL45P2	21.2899	0.0082	0.6357	0.9874	0.9913
MRPL46	323.8329	-1.6017	0.2901	0	0
MRPL47	894.8951	0.4956	0.2757	0.0631	0.1183
MRPL48	619.0044	1.3345	0.2239	0	0
MRPL49	1271.8106	-1.0798	0.207	0	0
MRPL50	1118.8028	1.5708	0.236	0	0
MRPL51	2860.0567	1.1016	0.1985	0	0
MRPL52	776.979	0.9457	0.2234	0	1e-04
MRPL53	1161.3229	0.9466	0.2267	0	1e-04
MRPL54	618.0631	0.8986	0.239	1e-04	4e-04
MRPL55	464.1576	0.0432	0.2783	0.8725	0.9195
MRPL9	2069.1348	0.3547	0.2004	0.0718	0.1316
MRPS10	551.1904	-0.0566	0.2331	0.8037	0.8715
MRPS11	1108.5706	0.4375	0.2571	0.0798	0.1443
MRPS12	999.1717	-0.4595	0.2109	0.0263	0.056
MRPS14	553.5439	0.5102	0.2281	0.0222	0.0481
MRPS15	1357.356	0.7307	0.2024	2e-04	8e-04
MRPS16	1539.3883	0.072	0.2066	0.7225	0.8125
MRPS17	339.6558	0.5079	0.2622	0.0459	0.09
MRPS18A	476.8646	-0.8113	0.2641	0.0015	0.0045
MRPS18B	1472.0419	0.5695	0.2311	0.0116	0.0273
MRPS18C	538.3116	0.4739	0.2285	0.0339	0.0695
MRPS2	1773.925	0.4811	0.195	0.0121	0.0284
MRPS21	1640.773	0.8745	0.1936	0	0
MRPS22	915.674	-0.0019	0.2113	0.9925	0.9948
MRPS23	1243.1144	-0.0915	0.2276	0.6811	0.7795
MRPS24	1703.3567	0.9649	0.2004	0	0
MRPS25	1168.4049	0.7308	0.2509	0.0027	0.0076
MRPS26	1249.6722	-1.1277	0.2194	0	0
MRPS27	1864.3608	-0.1392	0.2002	0.4792	0.6068
MRPS28	364.1674	0.7594	0.249	0.0017	0.005
MRPS30	1232.4982	-0.1483	0.2784	0.5816	0.6976
MRPS31	382.0906	-0.578	0.2625	0.0232	0.0502
MRPS31P5	46.2763	-0.3789	0.5196	0.4073	0.5378
MRPS33	570.265	0.9006	0.2288	1e-04	2e-04
MRPS34	3862.781	0.8553	0.2059	0	1e-04
MRPS35	1628.0057	0.5047	0.2067	0.0128	0.0298
MRPS36	572.8355	0.8278	0.2288	2e-04	8e-04
MRPS5	613.1749	0.069	0.2513	0.7779	0.8541
MRPS6	1047.6843	0.5365	0.2393	0.0215	0.0469
MRPS7	1445.7086	0.3712	0.2121	0.0743	0.1357
MRPS9	412.3386	0.3049	0.2699	0.2435	0.3609
MRRF	562.472	0.5157	0.2346	0.0244	0.0523
MRS2	335.0289	0.1104	0.2864	0.6896	0.7863
MRS2P2	0.6877	0.2036	1.1619	0.4744	NA
MRTO4	3165.6114	0.1799	0.1858	0.3258	0.4545
MS4A13	0.8106	0.1227	1.1516	0.6768	NA
MS4A15	0.1652	-0.0262	1.1594	0.9225	NA
MS4A3	0.731	0.1938	1.1652	0.4814	NA
MSANTD1	1.0534	-0.2552	1.1453	0.435	NA
MSANTD2	184.1585	-0.5855	0.3868	0.1053	0.1818
MSANTD3	653.2163	0.177	0.2197	0.4107	0.5411
MSANTD3-TMEFF1	108.8322	0.33	0.3913	0.3662	0.497
MSANTD4	1400.7625	1.729	0.2181	0	0
MSC	181.4001	-1.5261	0.3816	0	1e-04
MSH2	2374.328	0.2526	0.2338	0.2686	0.391
MSH3	763.6839	0.4201	0.2441	0.0773	0.1404
MSH4	0.5652	-0.1227	1.1598	0.6567	NA
MSH5	78.5184	0.6651	0.4473	0.1029	0.1783
MSH5-SAPCD1	35.4426	-0.9237	0.7059	0.0909	0.1611
MSH6	2342.9946	-0.5692	0.2422	0.0159	0.0359
MSI1	21.9885	-2.1808	1.0752	8e-04	0.0024
MSI2	848.5841	0.2396	0.2161	0.2578	0.378
MSL1	1394.3798	-0.0099	0.2552	0.9683	0.9798
MSL2	1913.1813	2.4837	0.2014	0	0
MSL3	619.6232	0.2965	0.2231	0.1745	0.276
MSL3P1	145.4543	0.6145	0.329	0.05	0.0969
MSLN	27.8004	0.9965	0.6109	0.0499	0.0968
MSMO1	147.1658	-0.5428	0.4238	0.1644	0.2632
MSMP	1.0871	0.2293	1.1677	0.4085	NA
MSN	10891.3556	1.0597	0.2087	0	0
MSR1	13.3739	0.0151	0.7372	0.9781	0.9855
MSRA	263.8872	1.0482	0.2882	2e-04	6e-04
MSRB1	440.7898	0.2488	0.2429	0.2932	0.4184
MSRB2	83.5605	0.6749	0.4137	0.0777	0.1409
MSRB3	290.4286	0.3893	0.3112	0.1918	0.2982
MSS51	3.6922	-0.8386	1.1575	0.0645	0.1204
MST1	19.7523	-0.3531	0.6761	0.509	0.6338
MST1L	2.0277	-0.5312	1.1337	0.1871	NA
MST1P2	13.2007	-0.6364	0.7478	0.2517	0.3709
MST1R	96.169	0.5926	0.3765	0.0934	0.1646
MST4	456.462	0.7846	0.2702	0.0027	0.0075
MSTO1	979.1168	0.2195	0.2098	0.2863	0.4108
MSTO2P	148.0228	0.8169	0.5616	0.0903	0.1602
MSX1	327.5844	-0.973	0.2697	2e-04	7e-04
MSX2	126.1121	0.4909	0.4532	0.2337	0.3496
MT1E	123.9997	0.3358	0.4225	0.3885	0.5189
MT1F	1.4957	0.1178	1.0907	0.7673	NA
MT1X	116.5944	0.5121	0.3634	0.1348	0.223
MT2A	8335.6667	1.2458	0.2597	0	0
MTA1	1423.9652	0.1748	0.2219	0.4212	0.5516
MTA2	2421.7271	-1.717	0.1909	0	0
MTA3	283.7648	-0.398	0.3013	0.1692	0.2695
MTAP	5831.8601	0.1003	0.1984	0.6069	0.7187
MTBP	201.6456	-1.3007	0.3157	0	1e-04
MTCH1	3009.8105	0.5952	0.2082	0.0036	0.0096
MTCH2	2405.3424	0.7429	0.1983	1e-04	5e-04
MTCP1	15.2939	-1.0831	0.7811	0.0559	0.1067
MTDH	3804.5243	0.3649	0.2049	0.0697	0.1287
MTERF	216.4915	-1.1691	0.4213	0.0026	0.0072
MTERFD1	242.599	-1.9523	0.3164	0	0
MTERFD2	290.5509	0.5312	0.2823	0.0513	0.099
MTERFD3	83.0959	-0.828	0.4081	0.0286	0.0601
MTF1	565.8701	-0.6881	0.4112	0.0706	0.13
MTF2	264.0789	-0.9827	0.2995	6e-04	0.002
MTFMT	193.146	-0.5659	0.3078	0.0552	0.1055
MTFP1	281.0765	-1.3794	0.3425	0	1e-04
MTFR1	657.4095	0.2501	0.2227	0.251	0.37
MTFR1L	533.1335	-0.7436	0.2415	0.0016	0.0047
MTFR2	80.7117	-1.0987	0.633	0.0342	0.07
MTG1	865.6697	0.2888	0.2353	0.2087	0.3196
MTG2	689.2508	-1.6263	0.2322	0	0
MTHFD1	4081.854	0.8422	0.1894	0	0
MTHFD1L	1840.6252	0.742	0.1939	1e-04	4e-04
MTHFD2	3976.7766	0.2934	0.2139	0.1617	0.2598
