Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Cell-Substrate Adhesion (GO:0010811)	1/73	0.11063363330702743	0.16651240318580351	0	0	8.894965277777779	19.5825430260592	ARL2
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	3/732	0.11125163958856203	0.16651240318580351	0	0	2.721124828532236	5.975482966022747	HEXIM1;NCOR2;GTF2IRD1
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	1/74	0.11206348047105408	0.16651240318580351	0	0	8.772688356164384	19.200693333626123	TRPM2
Negative Regulation of Apoptotic Signaling Pathway (GO:2001234)	1/74	0.11206348047105408	0.16651240318580351	0	0	8.772688356164384	19.200693333626123	QARS1
Regulation of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032)	1/75	0.11349109842017402	0.16768628586800993	0	0	8.653716216216216	18.8307536539861	TRPM2
Cell Chemotaxis (GO:0060326)	1/78	0.11776061053911308	0.17302257302674154	0	0	8.315340909090908	17.787357707819314	PARVA
Regulation of Transcription Elongation by RNA Polymerase II (GO:0034243)	1/79	0.11917934520870242	0.17413426549938185	0	0	8.208333333333334	17.46015775457149	HEXIM1
Regulation of Vesicle-Mediated Transport (GO:0060627)	1/82	0.12342228792684354	0.1783519874986805	0	0	7.903163580246914	16.53455285544906	PLD2
Inorganic Anion Transmembrane Transport (GO:0098661)	1/82	0.12342228792684354	0.1783519874986805	0	0	7.903163580246914	16.53455285544906	XPR1
Organophosphate Metabolic Process (GO:0019637)	1/83	0.12483219288209797	0.1794036433223594	0	0	7.8064024390243905	16.24344432254849	NFS1
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	1/84	0.12623989871920258	0.18044072479972978	0	0	7.711972891566265	15.960477177984549	ESPL1
Regulation of Innate Immune Response (GO:0045088)	1/86	0.12904872639772605	0.18345845968974026	0	0	7.529779411764705	15.417714452310157	DDX39A
Calcium Ion Transmembrane Transport (GO:0070588)	1/87	0.13044985486761018	0.18445328940957784	0	0	7.441860465116279	15.15733119964187	TRPM2
T Cell Receptor Signaling Pathway (GO:0050852)	1/88	0.13184879749976752	0.18543440503978	0	0	7.355962643678161	14.903912134617528	NCOR2
Calcium-Mediated Signaling (GO:0019722)	1/91	0.13603254337242318	0.18829767845761736	0	0	7.1097222222222225	14.182908523045153	CXCR1
ERAD Pathway (GO:0036503)	1/91	0.13603254337242318	0.18829767845761736	0	0	7.1097222222222225	14.182908523045153	SYVN1
Protein K48-linked Ubiquitination (GO:0070936)	1/91	0.13603254337242318	0.18829767845761736	0	0	7.1097222222222225	14.182908523045153	SYVN1
Positive Regulation of Cell Adhesion (GO:0045785)	1/92	0.1374227756243653	0.18922612559794805	0	0	7.03125	13.954873721291282	ARL2
Response to Calcium Ion (GO:0051592)	1/94	0.14019673531760604	0.19204031973192912	0	0	6.879368279569892	13.515953956408614	TRPM2
Regulation of Actin Filament-Based Process (GO:0032970)	1/96	0.14296204375650767	0.19467592042885057	0	0	6.7338815789473685	13.098585589958901	TRPM2
Muscle Contraction (GO:0006936)	1/97	0.14434146191492722	0.19467592042885057	0	0	6.663411458333333	12.897522792379664	MYH13
Inorganic Cation Import Across Plasma Membrane (GO:0098659)	1/97	0.14434146191492722	0.19467592042885057	0	0	6.663411458333333	12.897522792379664	TRPM2
Positive Regulation of Supramolecular Fiber Organization (GO:1902905)	1/98	0.14571872705725772	0.1955307408982591	0	0	6.594394329896907	12.701311527471955	ARL2
Regulation of RNA Splicing (GO:0043484)	1/104	0.15393728646601915	0.20447225424526785	0	0	6.208434466019417	11.61728459662547	CCNL1
Regulation of Actin Cytoskeleton Organization (GO:0032956)	1/104	0.15393728646601915	0.20447225424526785	0	0	6.208434466019417	11.61728459662547	TRPM2
Negative Regulation of Gene Expression, Epigenetic (GO:0045814)	1/109	0.16072747193971265	0.21241871919670569	0	0	5.919560185185185	10.8212228080039	H2AC20
Cellular Response to Metal Ion (GO:0071248)	1/111	0.1634287238282413	0.2149087718341373	0	0	5.8113636363636365	10.526578121365707	TRPM2
Endoplasmic Reticulum to Golgi Vesicle-Mediated Transport (GO:0006888)	1/112	0.16477618636635688	0.2156026717131933	0	0	5.7587274774774775	10.383948340757494	TRAPPC3
Regulation of Primary Metabolic Process (GO:0080090)	1/113	0.16612154419373432	0.21589824774162825	0	0	5.70703125	10.244324062094337	CCNL1
T Cell Activation (GO:0042110)	1/114	0.16746480052962798	0.21589824774162825	0	0	5.65625	10.107617479892367	NCOR2
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	1/114	0.16746480052962798	0.21589824774162825	0	0	5.65625	10.107617479892367	NCOR2
Regulation of RNA Biosynthetic Process (GO:2001141)	2/465	0.17043063680712084	0.21865003648913553	0	0	2.8012262244826864	4.956564998950177	ZNF562;GTF2IRD1
Cytoskeleton Organization (GO:0007010)	1/117	0.17148199232159234	0.21893089310960576	0	0	5.509159482758621	9.714174309565342	PLD2
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	2/470	0.17328791601741622	0.2201677387081182	0	0	2.770609318996416	4.856326267909633	NCOR2;QARS1
Mitotic Sister Chromatid Segregation (GO:0000070)	1/120	0.1754803848171143	0.22188144811010127	0	0	5.369485294117647	9.34412870674551	ESPL1
Negative Regulation of Defense Response (GO:0031348)	1/121	0.17680901942422317	0.22249173257689328	0	0	5.324479166666666	9.225645798472389	DDX39A
Calcium Ion Transport (GO:0006816)	1/126	0.183421112459131	0.22862441979503062	0	0	5.11025	8.666833803507618	TRPM2
Negative Regulation of MAPK Cascade (GO:0043409)	1/126	0.183421112459131	0.22862441979503062	0	0	5.11025	8.666833803507618	QARS1
Protein Localization to Nucleus (GO:0034504)	1/127	0.18473733696810493	0.2291788661443943	0	0	5.069444444444445	8.561380499664544	ARL2
Regulation of GTPase Activity (GO:0043087)	1/133	0.1925915876310751	0.23780088050221948	0	0	4.837594696969697	7.968405963775705	ARL2
Receptor-Mediated Endocytosis (GO:0006898)	1/136	0.19649114764072617	0.24148211135285508	0	0	4.729398148148148	7.695382965659763	CXCR1
Membraneless Organelle Assembly (GO:0140694)	1/138	0.19908070152272708	0.243526625583615	0	0	4.6598996350364965	7.521287711906792	EIF5B
Regulation of Cytoskeleton Organization (GO:0051493)	1/139	0.20037244188096293	0.24397200099395022	0	0	4.625905797101449	7.436501774892017	TRPM2
Cellular Response to Starvation (GO:0009267)	1/140	0.20166216190528405	0.24441082295433042	0	0	4.592401079136691	7.353175559502606	XPR1
Regulation of Cell Cycle Process (GO:0010564)	1/146	0.2093582266205071	0.25257437431740076	0	0	4.401077586206896	6.882002392312538	CCNL1
Phosphate-Containing Compound Metabolic Process (GO:0006796)	1/148	0.21190755724815455	0.2544825915811171	0	0	4.340773809523809	6.73516699838111	NFS1
Negative Regulation of Response to External Stimulus (GO:0032102)	1/154	0.21950781544546252	0.26241161573707567	0	0	4.1693218954248366	6.322223975049633	DDX39A
Ribosome Biogenesis (GO:0042254)	1/157	0.22328124331847968	0.2657147827726704	0	0	4.088541666666667	6.130045053404022	EIF5B
Regulation of Cellular Component Organization (GO:0051128)	1/158	0.22453511679089536	0.2660033140360607	0	0	4.062300955414012	6.067953027309663	CCNL1
Brain Development (GO:0007420)	1/169	0.23819882589319738	0.28092507269018346	0	0	3.7942708333333335	5.443448947994059	QARS1
Metal Ion Transport (GO:0030001)	1/180	0.2516289506326638	0.2954393482874579	0	0	3.5591829608938546	4.9109595627084675	TRPM2
Small GTPase-mediated Signal Transduction (GO:0007264)	1/188	0.2612518123773434	0.3053743406899614	0	0	3.405581550802139	4.571211781752241	PLD2
Transcription by RNA Polymerase II (GO:0006366)	1/194	0.2683901079643833	0.3109540211602389	0	0	3.2987370466321244	4.338874129543961	POLR2E
Regulation of Gene Expression (GO:0010468)	3/1126	0.2687840146586082	0.3109540211602389	0	0	1.7313446126447016	2.274722170062613	ZNF562;GTF2IRD1;CCNL1
Regulation of Programmed Cell Death (GO:0043067)	1/195	0.2695733027955013	0.3109540211602389	0	0	3.2815721649484537	4.301861945187359	CCNL1
Response to Endoplasmic Reticulum Stress (GO:0034976)	1/196	0.2707546419988392	0.3109540211602389	0	0	3.2645833333333334	4.2653160480458165	SYVN1
Regulation of Translation (GO:0006417)	1/201	0.2766336021516269	0.31632451028642555	0	0	3.1821875	4.089306273842138	EIF5B
DNA-templated Transcription (GO:0006351)	1/203	0.2789722952141956	0.3176178079711404	0	0	3.150371287128713	4.02189882859708	POLR2E
Modification-Dependent Protein Catabolic Process (GO:0019941)	1/207	0.28362770525130776	0.32152623483230147	0	0	3.0885922330097086	3.8919128281580573	SYVN1
Cilium Organization (GO:0044782)	1/224	0.3030900890258767	0.3421145640077492	0	0	2.850756726457399	3.403020126755943	PARVA
Protein Polyubiquitination (GO:0000209)	1/228	0.3075944059904218	0.345715080237098	0	0	2.7999724669603525	3.301092576291617	SYVN1
Regulation of Apoptotic Process (GO:0042981)	2/703	0.31136005143005024	0.346306067752946	0	0	1.8282637706502232	2.1332278844615318	CCNL1;CTNNBL1
Translation (GO:0006412)	1/232	0.3120704869104494	0.346306067752946	0	0	2.7509469696969697	3.20354981305562	QARS1
Apoptotic Process (GO:0006915)	1/232	0.3120704869104494	0.346306067752946	0	0	2.7509469696969697	3.20354981305562	ESPL1
Cilium Assembly (GO:0060271)	1/241	0.32203931792677537	0.35586697737286527	0	0	2.646614583333333	2.9988303806990975	PARVA
Positive Regulation of Programmed Cell Death (GO:0043068)	1/248	0.32969586579197785	0.36280340043217646	0	0	2.570723684210526	2.852435586398499	CTNNBL1
Lipid Metabolic Process (GO:0006629)	1/259	0.3415584595066833	0.37429114520940715	0	0	2.459786821705426	2.642392614209688	CEPT1
